timestamp,session_id,voucher_number,entry_type,amount,party_display,party_type,party_match_type,party_score,bank_desc,bank_code,bank_level,bank_match_type,bank_score,bank_text,category_desc,category_code,category_level,category_match_type,category_score,trans_date,cheque_no,user_message
2026-09-03T20:52:08.862976,session_1788370303492_zzdczl8m0,CRV-261203000156,CRV,8750.0,Medicare,C,exact,1.0,Banks/HBL,100045002,sub,substring,0.95,HBL bank,REVENUE/Healthcare Services,35002,main,exact,1.0,2026-06-07,,"Received $8,750 from Medicare for Healthcare Services into HBL bank on 06/07/2026"
2026-09-03T23:37:31.882053,session_1788370303492_zzdczl8m0,CRV-261203000157,CRV,950.0,Ali,C,exact,1.0,Banks/Bank of Amercia 9523,100045001,sub,exact,1.0,Bank of Amercia 9523,REVENUE/Healthcare Services,35002,main,exact,1.0,2026-06-07,,Received $950 from Ali for Healthcare Services into Bank of Amercia 9523 on 06/07/2026
2026-09-03T23:47:27.486069,session_1788370303492_zzdczl8m0,CRV-261203000158,CRV,1950.0,Ali,C,exact,1.0,Banks/Bank of Amercia 9523,100045001,sub,exact,1.0,Bank of Amercia 9523,REVENUE/Healthcare Services,35002,main,exact,1.0,2026-06-07,,Received $1950 from Ali for Healthcare Services into Bank of Amercia 9523 on 06/07/2026
2026-09-04T01:00:25.761527,session_1788465193656_tmcl909p5,CRV-261203000159,CRV,4120.0,Aetna,C,new,0.0,Banks/Meezan 1234,100045000,sub,fuzzy,0.9696969696969697,Bank Meezan 1234,REVENUE/Healthcare Services,35002,main,exact,1.0,2026-09-04,,"Received $4,120 from Aetna for Healthcare Services via Bank Meezan 1234"
2026-09-04T18:38:11.682628,session_1788525980298_qcrn85b59,CRV-261203000160,CRV,8750.0,Medicare,C,exact,1.0,Banks/Bank of Amercia 9523,100045001,sub,exact,1.0,Bank of Amercia 9523,REVENUE/Healthcare Services,35002,main,exact,1.0,2026-06-07,,"Received $8,750 from Medicare for Healthcare Services into Bank of Amercia 9523 on 06/07/2026"
2026-09-04T18:39:44.917460,session_1788525980298_qcrn85b59,CRV-261203000161,CRV,8750.0,Medicare,C,exact,1.0,Banks/Bank of Amercia 9523,100045001,sub,exact,1.0,Bank of Amercia 9523,REVENUE/Healthcare Services,35002,main,exact,1.0,2026-06-07,,"Received $8,750 from Medicare for Healthcare Services into Bank of Amercia 9523 on 06/07/2026"
2026-09-04T20:50:41.271461,session_1788525980298_qcrn85b59,CRV-261203000162,CRV,2000.0,Adobe Identity Verification Service LLC,C,new,0.0,ASSETS/Current Assets,10001,main,exact,1.0,Current Assets,REVENUE/Healthcare Services,35002,main,exact,1.0,2026-09-04,,"Received $2,000 from Adobe Identity Verification Service LLC for Healthcare Services into Current Assets"
2026-09-04T20:51:05.903039,session_1788525980298_qcrn85b59,CRV-261203000163,CRV,2000.0,Adobe Identity Verification Service LLC,C,exact,1.0,Banks/UBL 1234,100045007,sub,exact,1.0,UBL 1234,REVENUE/Healthcare Services,35002,main,exact,1.0,2026-09-04,,"Received $2,000 from Adobe Identity Verification Service LLC for Healthcare Services into UBL 1234"
2026-09-04T21:20:54.381792,session_1788538734809_joqhqtfm5,CRV-261203000164,CRV,2000.0,Adobe Identity Verification Service LLC,C,code,1.0,Banks/Meezan 1234,100045000,sub,code,1.0,,REVENUE/Healthcare Services,35002,main,code,1.0,2026-09-04,,"Received $2,000 from Adobe Identity Verification Service LLC for Healthcare Services into UBL 1234"
2026-09-04T21:31:32.224370,session_1788539455864_5ps1j4aok,CRV-261203000165,CRV,2540.0,3S,C,code,1.0,Banks/UBL 1234,100045007,sub,code,1.0,,REVENUE/Healthcare Services,35002,main,code,1.0,2026-09-04,,Received $2540 from Adobe Identity Verification Service LLC for Healthcare Services into UBL 1234
